--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|วัสดุ             |คำอธิบายวัสดุ                           |Plnt|SLoc|S|เลขที่สต็อคพิเศษ        |SL|แบทช์     |BUn|         ที่ใช้ได้|     การส่ง/การโอน|ในการตรวจสอบคุณภาพ|    การใช้ที่จำกัด|             ระงับ|            ส่งคืน|
|1-00-001-0002     |POLE  9 M.                              |D010|6007| |                        |  |N         |EA |               74 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D010|6007| |                        |  |R         |EA |               21 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D010|6011| |                        |  |N         |EA |               50 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D020|6001| |                        |  |N         |EA |              185 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D020|6001| |                        |  |R         |EA |               11 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D020|6003| |                        |  |N         |EA |                6 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D030|6001| |                        |  |N         |EA |            1,622 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D030|6002| |                        |  |N         |EA |               30 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D030|6006| |                        |  |N         |EA |               92 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D040|6001| |                        |  |R         |EA |                3 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D040|6002| |                        |  |R         |EA |               11 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D040|6003| |                        |  |R         |EA |               14 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D040|6006| |                        |  |N         |EA |              152 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D050|6001| |                        |  |N         |EA |              643 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D050|6001| |                        |  |R         |EA |                9 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D050|6002| |                        |  |N         |EA |                4 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D050|6002| |                        |  |R         |EA |                7 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D050|6004| |                        |  |N         |EA |              187 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D060|0021| |                        |  |N         |EA |              175 |                0 |                0 |                0 |                0 |                0 |
